text,category,priority
Mi factura llego con un cobro incorrecto,Billing,HIGH
Me cobraron dos veces el mismo servicio,Billing,HIGH
Necesito una copia de mi factura,Billing,MEDIUM
Cual es el costo del plan premium,Billing,LOW
No puedo acceder a mi cuenta,Technical Support,HIGH
La aplicacion se cierra sola al iniciar sesion,Technical Support,HIGH
El sistema esta caido y no puedo trabajar,Technical Support,HIGH
Tengo un error 500 al guardar archivos,Technical Support,HIGH
La pagina carga muy lento desde ayer,Technical Support,MEDIUM
No me llegan las notificaciones por correo,Technical Support,MEDIUM
Quiero cancelar mi suscripcion mensual,Cancellations,HIGH
Deseo dar de baja mi cuenta permanentemente,Cancellations,HIGH
Quiero cancelar el plan anual y pedir reembolso,Cancellations,HIGH
Como cancelo mi prueba gratuita,Cancellations,MEDIUM
Quiero pausar mi suscripcion por un mes,Cancellations,MEDIUM
Estoy interesado en comprar el plan empresarial,Sales,LOW
Tienen descuentos para estudiantes,Sales,LOW
Quiero informacion sobre los planes disponibles,Sales,LOW
Me gustaria hacer una demo del producto,Sales,LOW
No entiendo como funciona el sistema,General,LOW
Cual es el horario de atencion al cliente,General,LOW
Tienen soporte en espanol,General,LOW
Mi equipo perdio acceso al sistema,Technical Support,HIGH
El servidor no responde desde hace 2 horas,Technical Support,HIGH
Necesito que me devuelvan el dinero cobrado,Billing,HIGH
Me llego una factura de un plan que no contrate,Billing,HIGH
Mi tarjeta fue rechazada al intentar pagar,Billing,HIGH
Quiero cancelar y me siguen cobrando,Cancellations,HIGH
Cancele hace un mes y siguen cobrando,Cancellations,HIGH
No funciona el inicio de sesion con Google,Technical Support,HIGH
La autenticacion de dos factores no llega,Technical Support,HIGH
La API esta devolviendo errores 401,Technical Support,HIGH
Quiero actualizar mi plan al siguiente nivel,Sales,MEDIUM
El sistema no guarda los cambios que hago,Technical Support,HIGH
La integracion con mi CRM dejo de funcionar,Technical Support,HIGH
Necesito factura con datos fiscales,Billing,MEDIUM
El sistema de pagos muestra error al procesar,Billing,HIGH
Mi cuenta fue bloqueada sin razon aparente,Technical Support,HIGH
Quiero informacion para comprar 200 licencias,Sales,MEDIUM
No me dejan cancelar desde la plataforma,Cancellations,HIGH
El boton de cancelar no aparece en mi cuenta,Cancellations,HIGH
Mi problema no ha sido resuelto en varios dias,General,HIGH
Necesito hablar con un supervisor,General,HIGH
Quiero escalar mi queja a nivel superior,General,HIGH
El cobro no corresponde al plan contratado,Billing,HIGH
Necesito ajustar los datos de mi factura,Billing,MEDIUM
Cuando llega mi proximo cobro,Billing,LOW
Quiero cambiar mi metodo de pago,Billing,MEDIUM
No reconozco un cargo en mi estado de cuenta,Billing,HIGH
